#item+conceptum+codicem,#item+rem+i_en+i_eng+is_latn,#item+rem+i_ru+i_rus+is_cyrl
CMU_1:1,about how long have these symptoms been going on?,"о том, как долго присутствуют эти симптомы?"
wiki_5:2752,The other nonstructural proteins in the complex assist in the replication and transcription process.,Другие неструктурные белки в составе комплекса выполняют вспомогательную роль в процессе репликации и транскрипции.
wiki_5:2753,"The exoribonuclease nonstructural protein, for instance, provides extra fidelity to replication by providing a proofreading function which the RNA-dependent RNA polymerase lacks.One of the main functions of the complex is to replicate the viral genome.","Неструктурный белок экзорибонуклеазы, например, обеспечивает дополнительную точность репликации, выполняя корректирующую функцию, которой нет у РНК-зависимой РНК-полимеразы. Одна из основных функций комплекса заключается в репликации вирусного генома."
wiki_5:2754,RdRp directly mediates the synthesis of negative-sense genomic RNA from the positive-sense genomic RNA.,РНК-зависимая РНК-полимераза/РНК репликаза (RdRp) принимает непосредственное участие в синтезе отрицательно-полярной геномной РНК из положительно-полярной геномной РНК.
wiki_5:2755,This is followed by the replication of positive-sense genomic RNA from the negative-sense genomic RNA.,Затем следует репликация положительно-полярной геномной РНК из отрицательно-полярной геномной РНК.
wiki_5:2756,The other important function of the complex is to transcribe the viral genome.,Другая важная функция комплекса заключается в транскрибировании вирусного генома.
wiki_5:2757,RdRp directly mediates the synthesis of negative-sense subgenomic RNA molecules from the positive-sense genomic RNA.,РНК-зависимая РНК-полимераза/РНК репликаза (RdRp) принимает непосредственное участие в синтезе молекул отрицательно-полярной геномной РНК из положительно-полярной геномной РНК.
wiki_5:2758,This is followed by the transcription of these negative-sense subgenomic RNA molecules to their corresponding positive-sense mRNAs.,Затем следует транскрибирование этих субгеномных отрицательно-полярных молекул РНК в соответствующие положительно-полярные иРНК.
wiki_5:2759,The replicated positive-sense genomic RNA becomes the genome of the progeny viruses.,Реплицированная положительно-полярная геномная РНК становится геномом потомственных вирусов.
wiki_5:2760,The mRNAs are gene transcripts of the last third of the virus genome after the initial overlapping reading frame.,иРНК представляют собой транскрипты генов последней трети генома вируса после начальной перекрывающейся рамки считывания.
wiki_5:2761,These mRNAs are translated by the host's ribosomes into the structural proteins and a number of accessory proteins.,Эти иРНК транслируются рибосомами хозяина в структурные белки и ряд вспомогательных белков.
wiki_5:2762,RNA translation occurs inside the endoplasmic reticulum.,Трансляция РНК происходит внутри эндоплазматического ретикулюма.
wiki_5:2763,"The viral structural proteins S, E, and M move along the secretory pathway into the Golgi intermediate compartment.","Вирусные структурные белки S, E и M движутся по секреторному пути в промежуточное отделение Гольджи."
wiki_5:2764,"There, the M proteins direct most protein-protein interactions required for assembly of viruses following its binding to the nucleocapsid.","Там М-белки управляют большинством белок-белковых взаимодействий, необходимых для сбора вирусов после его связывания с нуклеокапсидом."
wiki_5:2765,Progeny viruses are then released from the host cell by exocytosis through secretory vesicles.,Затем потомственные вирусы высвобождаются из клетки-хозяина путем экзоцитоза через секреторные пузырьки.
wiki_5:2766,"The interaction of the coronavirus spike protein with its complement host cell receptor is central in determining the tissue tropism, infectivity, and species range of the virus.","Взаимодействие белка шипа коронавируса с рецептором клетки-хозяина комплемента играет ключевую роль при определении тропизма к ткани, инфекционности и видовой принадлежности вируса."
wiki_5:2767,"The SARS coronavirus, for example, infects human cells by attaching to the angiotensin-converting enzyme 2 (ACE2) receptor.","Коронавирус SARS, например, инфицирует клетки человека путем присоединения к рецептору ангиотензин-превращающего фермента 2 (ACE2)."
wiki_5:2768,The scientific name for coronavirus is Orthocoronavirinae or Coronavirinae.,Научное название коронавируса – Orthocoronavirinae или Coronavirinae.
wiki_5:2769,"Coronaviruses belong to the family of Coronaviridae, order Nidovirales, and realm Riboviria.","Коронавирусы принадлежат к семейству Coronaviridae, отряду Nidovirales и реалму Riboviria."
wiki_5:2770,Genus Betacoronavirus; type species: Murine coronavirus,Род — бета-коронавирус; типовой вид: коронавирус мышей
wiki_5:2771,"Species: Betacoronavirus 1 (Bovine Coronavirus, Human coronavirus OC43), Human coronavirus HKU1, Murine coronavirus, Pipistrellus bat coronavirus HKU5, Rousettus bat coronavirus HKU9, Severe acute respiratory syndrome-related coronavirus (SARS-CoV, SARS-CoV-2), Tylonycteris bat coronavirus HKU4, Middle East respiratory syndrome-related coronavirus, Hedgehog coronavirus 1 (EriCoV)","Виды: бета-коронавирус 1 (коронавирус бычьих, коронавирус человека OC43), коронавирус человека HKU1, коронавирус мышей, коронавирус летучей мыши Pipistrellus HKU5, коронавирус летучей мыши Rousettus HKU9, тяжелый острый респираторный синдром, вызванный коронавирусом (SARS-CoV, SARS-CoV-2), коронавирус летучей мыши Tylonycteris HKU4, ближневосточный респираторный синдром, вызываемый коронавирусом 1 ежа 1 (EriCoV)"
wiki_5:2772,"Species: Beluga whale coronavirus SW1, Infectious bronchitis virus","Виды: коронавирус белухи SW1, вирус инфекционного бронхита"
wiki_5:2773,"The most recent common ancestor (MRCA) of all coronaviruses is estimated to have existed as recently as 8000 BCE, although some models place the common ancestor as far back as 55 million years or more, implying long term coevolution with bat and avian species.","Самый недавний общий предок (MRCA) всех коронавирусов предположительно существовал еще в 8000 г. до н.э., хотя согласно некоторым моделям, общему предку более 55 миллионов лет, что подразумевает его долгосрочное эволюционирование совместно с различными породами летучих мышей и птиц."
wiki_5:2774,"The most recent common ancestor of the alphacoronavirus line has been placed at about 2400 BCE, the betacoronavirus line at 3300 BCE, the gammacoronavirus line at 2800 BCE, and the deltacoronavirus line at about 3000 BCE.","Возраст самого недавнего общего предка линии альфа-коронавируса датируется примерно 2400 г. до н.э., линии бета-коронавируса – 3300 г. до н.э., линии гамма-коронавируса – 2800 г. до н.э., линии дельта-коронавируса – 3000 г. до н.э."
wiki_5:2775,"The large number of host bat and avian species, and their global range, has enabled extensive evolution and dissemination of coronaviruses.Many human coronavirus have their origin in bats.","Большое количество видов летучих мышей и птиц, а также их глобальный ареал стали причиной повсеместного развития и распространения коронавирусов. Многие коронавирусы человека происходят от летучих мышей."
wiki_5:2776,"More recently, alpaca coronavirus and human coronavirus 229E diverged sometime before 1960.","Из самых недавних событий, зафиксированных в отношении изменений коронавирусов, стало разделение коронавируса альпака и коронавируса человека 229E, которое имело место до 1960 года."
wiki_5:2777,MERS-CoV emerged in humans from bats through the intermediate host of camels.,MERS-CoV перешел к людям от летучих мышей через промежуточного хозяина — верблюда.
wiki_5:2778,"MERS-CoV, although related to several bat coronavirus species, appears to have diverged from these several centuries ago.","MERS-CoV относится к нескольким видам коронавирусов летучих мышей, но вероятно отделился от них несколько веков назад."
wiki_5:2779,The most closely related bat coronavirus and SARS-CoV diverged in 1986.,"Коронавирус летучей мыши и SARS-CoV, имеющие наибольшее сходство, разделились в 1986 году."
wiki_5:2780,"A possible path of evolution, of SARS coronavirus and keen bat coronaviruses, suggests that SARS related coronaviruses coevolved in bats for a long time.","Возможный путь эволюции коронавируса SARS и коронавирусов ночницы Кина предполагает, что связанные с SARS коронавирусы долгое время коэволюционировали среди летучих мышей."
wiki_5:2781,"In the 1790s, equine coronavirus diverged from the bovine coronavirus after a cross-species jump.",В 1790-х годах в результате усиления межвидового разрыва коронавирус лошадей отделился от коронавируса крупного рогатого скота.
wiki_5:2782,"Later in the 1890s, human coronavirus OC43 diverged from bovine coronavirus after another cross-species spillover event.","Позже, в 1890-х годах, коронавирус человека OC43 отделился от коронавируса крупного рогатого скота после очередного межвидового перемещения."
wiki_5:2783,"It is speculated that the flu pandemic of 1890 may have been caused by this spillover event, and not by the influenza virus, because of the related timing, neurological symptoms, and unknown causative agent of the pandemic.","Предполагается, что пандемия гриппа 1890 года могла быть вызвана таким эффектом, а не вирусом гриппа, о чем свидетельствуют сроки распространения эпидемии, сопутствовавшие неврологические симптомы и тот факт, что возбудитель пандемии не был определен."
wiki_5:2784,Human coronavirus OC43 besides causing respiratory infections is also suspected of playing a role in neurological diseases.,"Коронавирус человека OC43 не только вызывает респираторные инфекции, но также предположительно играет определенную роль в неврологических заболеваниях."
wiki_5:2785,"In the 1950s, the human coronavirus OC43 began to diverge into its present genotypes.",В 1950-х коронавирус человека OC43 начал отклоняться от стандарта по своим нынешним генотипам.
wiki_5:2786,"Phylogentically, mouse hepatitis virus (Murine coronavirus), which infects the mouse's liver and the central nervous system, is related to human coronavirus OC43 and bovine coronavirus.","В филогенетическом отношении вирус гепатита мыши (коронавирус мышиных), который поражает печень и центральную нервную систему мышей, связан с коронавирусом человека OC43 и коронавирусом крупного рогатого скота."
wiki_5:2787,"Human coronavirus HKU1, like the aforementioned viruses, also has its origins in rodents.","Коронавирус человека HKU1, как и вышеупомянутые вирусы, происходит от грызунов."
wiki_5:2788,Coronaviruses vary significantly in risk factor.,По степени риска коронавирусы существенно отличаются друг от друга.
wiki_5:2789,"Some can kill more than 30% of those infected, such as MERS-CoV, and some are relatively harmless, such as the common cold.","Некоторые, такие как MERS-CoV, способны убить более 30% инфицированных особей, а некоторые являются относительно безвредными, например общераспространенная простуда."
wiki_5:2790,"Coronaviruses can cause colds with major symptoms, such as fever, and a sore throat from swollen adenoids.","Коронавирусы могут быть причиной простуды с основными симптомами, такими как лихорадка и боль в горле, причиняемая отекшими аденоидами."
wiki_5:2791,Coronaviruses can cause pneumonia (either direct viral pneumonia or secondary bacterial pneumonia) and bronchitis (either direct viral bronchitis or secondary bacterial bronchitis).,Коронавирусы могут также вызывать пневмонию (первичную вирусную или вторичную бактериальную пневмонию) и бронхит (первичный вирусный или вторичный бактериальный бронхит).
wiki_5:2792,"The human coronavirus discovered in 2003, SARS-CoV, which causes severe acute respiratory syndrome (SARS), has a unique pathogenesis because it causes both upper and lower respiratory tract infections.Six species of human coronaviruses are known, with one species subdivided into two different strains, making seven strains of human coronaviruses altogether.","Выявленный в 2003 году коронавирус человека, SARS-CoV, вызывающий тяжелый острый респираторный синдром (SARS), обладает уникальным патогенезом, поскольку вызывает инфекции как верхних, так и нижних дыхательных путей. Известно шесть видов коронавирусов человека, при этом один вид подразделяется на два различных штамма, что в целом составляет семь штаммов коронавирусов человека."
wiki_5:2793,"Four of these coronaviruses continually circulate in the human population and produce the generally mild symptoms of the common cold in adults and children worldwide: -OC43, -HKU1, HCoV-229E, -NL63.","Четыре из этих коронавирусов постоянно циркулируют в популяции людей и обычно вызывают легкие симптомы простуды у взрослых и детей во всем мире: -OC43, -KU1, HCoV-229E, -NL63."
wiki_5:2794,Coronaviruses cause about 15% of commons colds.,Коронавирусы являются причиной 15% случаев ОРВИ (простуды).
wiki_5:2795,The majority of colds are caused by rhinoviruses.,Большинство видов простуды бывают вызваны риновирусом.
wiki_5:2796,The four mild coronaviruses have a seasonal incidence occurring in the winter months in temperate climates.,Четыре коронавируса легкой формы вызывают сезонную заболеваемость в зимние месяцы в умеренном климате.
wiki_5:2797,There is no preference towards a particular season in tropical climates.,В тропическом климате сезонная обусловленность отсутствует.
wiki_5:2798,Four human coronaviruses produce symptoms that are generally mild:,"Четыре коронавируса человека вызывают симптомы, которые, как правило, протекают довольно легко:"
wiki_5:2799,The virus was officially named the SARS coronavirus (SARS-CoV).,Вирус получил официальное название – коронавирус SARS (SARS-CoV).
wiki_5:2800,"More than 8,000 people were infected, about ten percent of whom died.","Более 8000 человек были инфицированы, около десяти процентов из них погибли."
wiki_5:2801,"In September 2012, a new type of coronavirus was identified, initially called Novel Coronavirus 2012, and now officially named Middle East respiratory syndrome coronavirus (MERS-CoV).","В сентябре 2012 года был идентифицирован новый тип коронавируса, который первоначально назывался Novel Coronavirus 2012, а теперь его официальное название –коронавирус ближневосточного респираторного синдрома (MERS-CoV)."
wiki_5:2802,The World Health Organization issued a global alert soon after.,Вскоре после этого события Всемирная организация здравоохранения выпустила глобальное предупреждение.
wiki_5:2803,The WHO update on 28 September 2012 said the virus did not seem to pass easily from person to person.,"В обновленной информации, опубликованной ВОЗ 28 сентября 2012 года, говорится, что, вероятно, простого способа передачи этого вируса от человека к человеку не существует."
wiki_5:2804,"However, on 12 May 2013, a case of human-to-human transmission in France was confirmed by the French Ministry of Social Affairs and Health.","Однако 12 мая 2013 года Министерство социальной защиты и здравоохранения Франции подтвердило случай передачи вируса от человека человеку, который имел место во Франции."
wiki_5:2805,"In addition, cases of human-to-human transmission were reported by the Ministry of Health in Tunisia.","Кроме того, Министерство здравоохранения Туниса также доложило о других случаях передачи этого вируса от человека человеку."
wiki_5:2806,"Two confirmed cases involved people who seemed to have caught the disease from their late father, who became ill after a visit to Qatar and Saudi Arabia.","Два подтвержденных случая были зарегистрированы у людей, вероятно, заразившихся этим заболеванием от своего покойного отца, который заболел после поездки в Катар и Саудовскую Аравию."
wiki_5:2807,"Despite this, it appears the virus had trouble spreading from human to human, as most individuals who are infected do not transmit the virus.","Несмотря на это, простого способа передачи вируса от человека к человеку, вероятно, не существует, так как большинство инфицированных людей не являются его переносчиками."
wiki_5:2808,The final name for the virus is Middle East respiratory syndrome coronavirus (MERS-CoV).,Официальное название этого вируса — коронавирус ближневосточного респираторного синдрома (MERS-CoV).
wiki_5:2809,"The only U.S. cases (both survived) were recorded in May 2014.In May 2015, an outbreak of MERS-CoV occurred in the Republic of Korea, when a man who had traveled to the Middle East, visited four hospitals in the Seoul area to treat his illness.","Единственные два случая заболевания в США (оба пациента выжили) были зарегистрированы в мае 2014 года. В мае 2015 года вспышка MERS-CoV произошла в Республике Корея, после того, как пациент, который до этого путешествовал по Ближнему Востоку, обратился в четыре клиники Сеула с целью лечения."
wiki_5:2810,This caused one of the largest outbreaks of MERS-CoV outside the Middle East.,Это повлекло одну из крупнейших вспышек MERS-CoV за пределами Ближнего Востока.
wiki_5:2811,"As of December 2019, 2,468 cases of MERS-CoV infection had been confirmed by laboratory tests, 851 of which were fatal, a mortality rate of approximately 34.5%.","По состоянию на декабрь 2019 года лабораторные исследования подтвердили 2468 случаев заражения MERS-CoV, 851 из которых закончились летальным исходом, а уровень смертности составил приблизительно 34,5%."
wiki_5:2812,"In December 2019, a pneumonia outbreak was reported in Wuhan, China.",В декабре 2019 года в китайском городе Ухань была зарегистрирована вспышка пневмонии.
wiki_5:2813,"On 31 December 2019, the outbreak was traced to a novel strain of coronavirus, which was given the interim name 2019-nCoV by the World Health Organization (WHO), later renamed SARS-CoV-2 by the International Committee on Taxonomy of Viruses.","31 декабря 2019 года было выяснено, что вспышка была вызвана новым штаммом коронавируса, которому Всемирная организация здравоохранения (ВОЗ) присвоила временное название 2019-nCoV, а позднее Международный комитет по таксономии вирусов переименовал его в SARS-CoV-2."
wiki_5:2814,"Some researchers have suggested the Huanan Seafood Wholesale Market may not be the original source of viral transmission to humans.As of 17 April 2020, there have been at least 153,822 confirmed deaths and more than 2,240,191 confirmed cases in the coronavirus pneumonia pandemic.","Некоторые исследователи предполагают, что оптовый рынок морепродуктов Хуанань, возможно, не является первоначальным источником передачи вируса людям. По состоянию на 17 апреля 2020 года было зарегистрировано не менее 153 822 подтвержденных случая смерти и более 2240 191 подтвержденный случай коронавирусной пневмонии, которая переросла в пандемию."
wiki_5:2815,The Wuhan strain has been identified as a new strain of Betacoronavirus from group 2B with approximately 70% genetic similarity to the SARS-CoV.,"Уханьский вирусный штамм был идентифицирован, как новый штамм бета-коронавируса группы 2В, и имеет примерно 70% генетического сходства с SARS-CoV."
wiki_5:2816,"The virus has a 96% similarity to a bat coronavirus, so it is widely suspected to originate from bats as well.","Вирус имеет 96-процентное сходство с коронавирусом летучих мышей, поэтому предполагается, что он также происходит от летучих мышей."
wiki_5:2817,The pandemic has resulted in travel restrictions and nationwide lockdowns in several countries.,"Пандемия привела к ограничениям на поездки, а в нескольких странах — к изоляционным мерам."
wiki_5:2818,Coronaviruses have been recognized as causing pathological conditions in veterinary medicine since the 1930s.,"В ветеринарной медицине, в 1930-х годах, коронавирусы были признаны факторами, вызывающими патологические состояния."
wiki_5:2819,"Except for avian infectious bronchitis, the major related diseases have mainly an intestinal location.","За исключением инфекционного бронхита птиц, основные сопутствующие заболевания имеют в основном кишечную локализацию."
wiki_5:2820,Coronaviruses primarily infect the upper respiratory and gastrointestinal tract of mammals and birds.,У млекопитающих и птиц коронавирусы в первую очередь поражают верхние дыхательные пути и желудочно-кишечный тракт.
wiki_5:2821,"They also cause a range of diseases in farm animals and domesticated pets, some of which can be serious and are a threat to the farming industry.",Они также вызывают ряд заболеваний у сельскохозяйственных животных и домашних животных; некоторые из них могут быть довольно серьезными и представляют угрозу для сельскохозяйственной отрасли.
wiki_5:2822,"In chickens, the infectious bronchitis virus (IBV), a coronavirus, targets not only the respiratory tract but also the urogenital tract.","У цыплят вирус инфекционного бронхита (IBV), один из коронавирусов, поражает не только дыхательные пути, но и мочеполовые пути."
wiki_5:2823,The virus can spread to different organs throughout the chicken.,Вирус может распространяться на различные органы птицы.
wiki_5:2824,"Economically significant coronaviruses of farm animals include porcine coronavirus (transmissible gastroenteritis coronavirus, TGE) and bovine coronavirus, which both result in diarrhea in young animals.","К экономически значимым коронавирусам сельскохозяйственных животных относятся коронавирус свиньи (трансмиссивный коронавирус гастроэнтерита, TGE) и коронавирус крупного рогатого скота, который приводит к диарее у молодых животных."
wiki_5:2825,"Feline coronavirus: two forms, feline enteric coronavirus is a pathogen of minor clinical significance, but spontaneous mutation of this virus can result in feline infectious peritonitis (FIP), a disease associated with high mortality.","Коронавирус кошачьих имеет две формы; кошачий кишечный коронавирус является патогеном незначительного клинического значения, но спонтанная мутация этого вируса может привести к инфекционному перитониту кошек (FIP), заболеванию, вызывающему высокую смертность."
wiki_5:2826,"Similarly, there are two types of coronavirus that infect ferrets: Ferret enteric coronavirus causes a gastrointestinal syndrome known as epizootic catarrhal enteritis (ECE), and a more lethal systemic version of the virus (like FIP in cats) known as ferret systemic coronavirus (FSC).","Существует также два типа коронавируса хорьковых: Кишечный коронавирус хорька вызывает желудочно-кишечный синдром, известный как эпизоотический катаральный энтерит (ECE), а также более летальную системную форму вируса (например, FIP у кошек), известную как системный коронавирус хорька (FSC)."
wiki_5:2827,"There are two types of canine coronavirus (CCoV), one that causes mild gastrointestinal disease and one that has been found to cause respiratory disease.","Существует также два типа коронавируса псовых (CCoV), один из которых вызывает легкое заболевание желудочно-кишечного тракта, а другой — респираторное заболевание."
wiki_5:2828,"Mouse hepatitis virus (MHV) is a coronavirus that causes an epidemic murine illness with high mortality, especially among colonies of laboratory mice.","Вирус гепатита мыши (MHV) — это коронавирус, вызывающий эпидемическое заболевание мышей с высокой смертностью, особенно среди колоний лабораторных мышей."
wiki_5:2829,"Sialodacryoadenitis virus (SDAV) is highly infectious coronavirus of laboratory rats, which can be transmitted between individuals by direct contact and indirectly by aerosol.","Вирус сиалодакриоаденита крыс (SDAV) — это высокоинфекционный коронавирус лабораторных крыс, который может передаваться между индивидуумами при прямом контакте, а также косвенно — воздушно-капельным путем."
wiki_5:2830,Some strains of MHV cause a progressive demyelinating encephalitis in mice which has been used as a murine model for multiple sclerosis.,"Некоторые штаммы MHV вызывают прогрессирующий демиелинизирующий энцефалит у мышей, который используется для моделирования рассеянного склероза на мышиной модели."
wiki_5:2831,"Significant research efforts have been focused on elucidating the viral pathogenesis of these animal coronaviruses, especially by virologists interested in veterinary and zoonotic diseases.","Значительные исследовательские усилия были сосредоточены на выявлении вирусного патогенеза этих животных коронавирусов, в частности — исследования вирусологов, изучающих ветеринарные и природно-очаговые заболевания."
wiki_5:2832,"Porcine coronavirus (transmissible gastroenteritis coronavirus of pigs, TGEV).","Коронавирус свиньи (инфекционный коронавирусный гастроэнтерит свиней, ТГЭВ)."
wiki_5:2833,"Bovine coronavirus (BCV), responsible for severe profuse enteritis in of young calves.","Коронавирус быков (BCV), вызывающий тяжелую форму профузного энтерита у молодых телят."
wiki_5:2834,Feline coronavirus (FCoV) causes mild enteritis in cats as well as severe Feline infectious peritonitis (other variants of the same virus).,"Коронавирус кошачьих (FCoV) вызывает у кошек легкий энтерит, а также тяжелый инфекционный перитонит кошек (два варианта одного и того же вируса)."
wiki_5:2835,"the two types of canine coronavirus (CCoV) (one causing enteritis, the other found in respiratory diseases).","два типа коронавируса псовых (CCoV): один тип вызывает энтерит, другой — респираторные заболевания."
wiki_5:2836,Turkey coronavirus (TCV) causes enteritis in turkeys.,Коронавирус индюков (TCV) вызывает энтерит у индюков.
wiki_5:2837,Ferret enteric coronavirus causes epizootic catarrhal enteritis in ferrets.,Кишечный коронавирус хорьковых вызывает у хорьков эпизоотический катаральный энтерит.
wiki_5:2838,Ferret systemic coronavirus causes FIP-like systemic syndrome in ferrets.,Системный коронавирус хорьковых вызывает FIP-подобный системный синдром у хорьков.
wiki_5:2839,Rabbit enteric coronavirus causes acute gastrointestinal disease and diarrhea in young European rabbits.,Кишечный коронавирус кроликов вызывает острые желудочно-кишечные заболевания и диарею у молодых диких кроликов.
wiki_5:2840,"Porcine epidemic diarrhea virus (PED or PEDV), has emerged around the world.",Вирус эпизоотической диареи свиней (PED или PEDV) распространился по всему миру.
wiki_9:2841,b'Coronavirus disease 2019 (COVID-19) is an infectious disease caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2).,"Коронавирус — это заболевание, выявленное в 2019 году (COVID-19), являющееся инфекционным заболеванием, вызванным тяжелым острым респираторным синдромом коронавируса 2 (SARS-CoV-2)."
wiki_9:2842,"Common symptoms include fever, cough, and shortness of breath.","Наиболее распространенные симптомы включают лихорадку, кашель и затруднение дыхания."
wiki_9:2843,"Other symptoms may include fatigue, muscle pain, diarrhea, sore throat, loss of smell, and abdominal pain.","Другие симптомы могут включать ощущение усталости, мышечные боли, диарею, боль в горле, потерю обоняния и боль в животе."
wiki_9:2844,The time from exposure to onset of symptoms is typically around five days but may range from two to fourteen days.,"Время от первого проявления симптомов до пика заболевания обычно составляет около пяти дней, но также может варьироваться от двух до четырнадцати дней."
wiki_9:2845,"While the majority of cases result in mild symptoms, some progress to viral pneumonia and multi-organ failure.","Большинство случаев сводится к проявлению легких симптомов, однако в некоторых случаях заболевание перетекает в вирусную пневмонию и полиорганную недостаточность."
wiki_9:2846,"As of 17 April 2020, more than 2.24 million cases have been reported across 210 countries and territories, resulting in more than 153,000 deaths.","По состоянию на 17 апреля 2020 года было зарегистрировано более 2,24 миллиона случаев заражения в 210 странах и регионах, более 153 000 человек погибли от этого заболевания."
wiki_9:2847,"More than 568,000 people have recovered.The virus is primarily spread between people during close contact, often via small droplets produced by coughing, sneezing, or talking.","Более 568 000 человек выздоровели. Вирус в основном распространяется при тесном контактировании людей друг с другом, зачастую через микроскопические капли, выделяющиеся в воздух при кашле, чихании или разговоре."
wiki_9:2848,"While these droplets are produced when breathing out, they usually fall to the ground or onto surfaces rather than being infectious over long distances.","Хотя эти капли образуются при выдохе, они обычно представляют угрозу, попадая на землю или на поверхности, но не передаются через воздух на больших расстояниях."
wiki_9:2849,"People may also become infected by touching a contaminated surface and then touching their eyes, nose, or mouth.","Люди также заражаются, касаясь загрязненной поверхности, а затем своих глаз, носа или рта."
wiki_9:2850,The virus can survive on surfaces up to 72 hours.,На поверхности вирус может жить в течение 72 часов.
wiki_9:2851,"It is most contagious during the first three days after the onset of symptoms, although spread may be possible before symptoms appear and in later stages of the disease.The standard method of diagnosis is by real-time reverse transcription polymerase chain reaction (rRT-PCR) from a nasopharyngeal swab.","Он наиболее заразен в течение первых трех дней после появления симптомов, хотя его распространение может быть возможным как до появления симптомов, так и на более поздних стадиях. Стандартный метод диагностики — полимеразная цепная реакция с обратной транскрипцией в реальном времени (РТ-ПЦР) на образце, взятом, как мазок из носоглотки."
wiki_9:2852,The use of masks is recommended for those who suspect they have the virus and their caregivers.,"Использование медицинских масок рекомендуется пациентам с подозрением на заболевание, а также тем, кто за ними ухаживает."
wiki_9:2853,"Recommendations for mask use by the general public vary, with some authorities recommending against their use, some recommending their use, and others requiring their use.","Рекомендации по использованию медицинских масок населением различаются: некоторые ведомства рекомендуют вообще не использовать их, некоторые рекомендуют их использование, а другие требуют его."
wiki_9:2854,"Currently, there is no vaccine or specific antiviral treatment for COVID-19.",В настоящее время вакцина или специфическое лечение от вируса COVID-19 отсутствуют.
wiki_9:2855,Local transmission of the disease has been recorded in most countries across all six WHO regions.,Локальное распространение заболевания было зарегистрировано в большинстве стран во всех шести регионах ВОЗ.
wiki_9:2856,"Those infected with the virus may be asymptomatic or develop flu-like symptoms such as fever, cough, fatigue, and shortness of breath.","Инфицированные лица могут не иметь симптомов или иметь симптомы гриппа, такие как лихорадка, кашель, усталость и одышка."
wiki_9:2857,"Emergency symptoms include difficulty breathing, persistent chest pain or pressure, confusion, difficulty waking, and bluish face or lips; immediate medical attention is advised if these symptoms are present.","Экстренные симптомы включают затрудненное дыхание, постоянную боль или ощущение сдавленности в груди, спутанность сознания, трудности с пробуждением, посинение лица или губ; если присутствуют вышеперечисленные симптомы, следует незамедлительно обратиться за медицинской помощью."
wiki_9:2858,"Less commonly, upper respiratory symptoms such as sneezing, runny nose or sore throat may be seen.","Реже могут наблюдаться симптомы заболевания верхних дыхательных путей, такие как чихание, насморк или боль в горле."
wiki_9:2859,"Gastrointestinal symptoms such as nausea, vomiting and diarrhoea have been observed in varying percentages.","Также, в разных процентных соотношениях наблюдаются желудочно-кишечные симптомы, такие как тошнота, рвота и диарея."
wiki_9:2860,Some cases in China initially presented only with chest tightness and palpitations.,"Некоторые случаи заболевания, зарегистрированные в Китае, изначально проявлялись только ощущением сдавленности в груди и учащенным сердцебиением."
wiki_9:2861,"In some, the disease may progress to pneumonia, multi-organ failure, and death.","В некоторых случаях болезнь может прогрессировать, развиваясь в пневмонию, полиорганную недостаточность, и в итоге наступает смерть."
