#item+conceptum+codicem,#item+rem+i_fr+i_fra+is_latn,#item+rem+i_en+i_eng+is_latn
CMU_1:1,depuis combien ressentez-vous ces symptômes ?,about how long have these symptoms been going on?
wiki_10:2558,Il s’agit d’un axe de recherche scientifique actuellement étudié pour développer des traitements sûrs et efficaces contre la COVID-19.,This is one line of scientific research which is currently being pursued to develop safe and effective COVID-19 treatments.
wiki_10:2559,"D’autres axes de recherche incluent le développement d’un vaccin contre la COVID-19 et la transfusion de plasma de personnes convalescentes. Le SARS-CoV-2 présente environ 66 protéines cibles thérapeutiques, chacune d’entre elles disposant de plusieurs sites de liaison de ligands.","Other research directions include the development of a COVID-19 vaccine and convalescent plasma transfusion.SARS-CoV-2 has about 66 druggable proteins, each of which has multiple ligand binding sites."
wiki_10:2560,L’analyse de ces sites de liaison offre le projet réaliste de développement d’un médicament antiviral efficace contre les protéines de la COVID-19.,Analyzing those binding sites provide the reasonable project of developing effective antiviral drug against COVID-19 proteins.
wiki_10:2561,"Parmi les protéines cibles les plus importantes du SARS-CoV-2, on trouve la protéase du type papaïne, l’ARN polymérase ARN dépendante, l’hélicase, la protéine S et l’ADP ribose phosphatase.","Of the most important SARS-CoV-2 target proteins are papain-like protease, RNA dependent RNA polymerase, helicase, S protein, and ADP ribophosphatase."
wiki_10:2562,"Hussein A A, et al. ont étudié plusieurs composés candidats qu’ils ont ensuite optimisés et analysés pour déterminer leur similitude structurelle avec les médicaments approuvés les plus similaires pour accélérer le développement d’un médicament puissant anti-SARS-CoV-2 dans leur étude préclinique à recommander dans la conception d’une étude clinique.","Hussein A A, et al studied several candidate compounds which then optimized and analyzed for their skeleton similarity with the highest similar approved drugs in order to accelerate a potent anti-SARS-CoV-2 drug development in his preclinical study to be recommended in a clinical study design."
wiki_10:2563,La chloroquine est un médicament antipaludéen également utilisé contre certaines maladies auto-immunes.,Chloroquine is an anti-malarial medication that is also used against some auto-immune diseases.
wiki_10:2564,"Le 18 mars, l’OMS a annoncé que la chloroquine et l’hydroxychloroquine apparentée feraient partie des quatre médicaments étudiés dans l’essai clinique Solidarity.","On 18 March, the WHO announced that chloroquine and the related hydroxychloroquine would be among the four drugs studied as part of the Solidarity clinical trial."
wiki_10:2565,"Le gouverneur de New York, Andrew Cuomo, a annoncé que les essais de l’État de New York portant sur la chloroquine et l’hydroxychloroquine commenceraient le 24 mars. Le 28 mars, la FDA a autorisé l’utilisation du sulfate d’hydroxychloroquine et du phosphate de chloroquine en vertu d'une autorisation d'utilisation d'urgence (EUA).","New York governor Andrew Cuomo announced that New York State trials of chloroquine and hydroxychloroquine would begin on 24 March.On 28 March, the FDA authorized the use of hydroxychloroquine sulfate and chloroquine phosphate under an Emergency Use Authorization (EUA)."
wiki_10:2566,Le traitement n’a pas été approuvé par le processus d’essai clinique de la FDA et est autorisé en vertu de l’EUA uniquement comme traitement expérimental pour une utilisation d’urgence chez des patients hospitalisés mais ne pouvant recevoir un traitement dans un essai clinique.,The treatment has not been approved by the FDA's clinical trials process and is authorized under the EUA only as an experimental treatment for emergency use in patients who are hospitalized but are not able to receive treatment in a clinical trial.
wiki_10:2567,"Le CDC a déclaré que « l’utilisation, le dosage ou la durée d’administration de l’hydroxychloroquine pour la prévention ou le traitement de l’infection à SARS-COV-2 » ne sont pas encore établis.","The CDC has said that ""the use, dosing, or duration of hydroxychloroquine for prophylaxis or treatment of SARS-CoV-2 infection"" are not yet established."
wiki_10:2568,Les médecins ont indiqué utiliser ce médicament « lorsqu’il n’y a aucune autre option ».,"Doctors have said they are using the drug when ""there's no other option""."
wiki_10:2569,"Une équipe de recherche turque à Istanbul mène une petite étude sur l’utilisation de la chloroquine en association avec le zinc, la vitamine A, la vitamine C et la vitamine D.","A Turkish research team in Istanbul is conducting a small study on the use of chloroquine in combination with zinc, vitamin A, vitamin C and vitamin D."
wiki_10:2570,Des études plus vastes sont en cours à l’université Duke et à l’université d’Oxford.,Large studies are underway at Duke University and the University of Oxford.
wiki_10:2571,La NYU Langone Medical School réalise un essai sur la sécurité et l’efficacité de l’utilisation préventive de l’hydroxychloroquine.,NYU Langone Medical School is conducting a trial on the safety and efficacy of preventative use of hydroxychloroquine.
wiki_10:2572,Des essais cliniques chinois réalisés à Wuhan et à Shenzhen ont affirmé que le favipiravir était « clairement efficace ».,"Chinese clinical trials in Wuhan and Shenzhen claimed to show favipiravir was ""clearly effective""."
wiki_10:2573,35 patients à Shenzhen ont été testés négatifs dans un délai moyen de 4 jours alors que la durée de la maladie était de 11 jours chez les 45 patients qui ne l’avaient pas reçu.,"35 patients in Shenzhen tested negative in a median of 4 days, while the length of illness was 11 days in the 45 patients who did not receive it."
wiki_10:2574,"Dans une étude réalisée à Wuhan sur 240 patients souffrant de pneumonie, la moitié a reçu le favipiravir et l’autre moitié l’umifénovir.","In a study conducted in Wuhan on 240 patients with pneumonia, half were given favipiravir and half received umifenovir."
wiki_10:2575,L’agence italienne des médicaments a rappelé au public que les preuves existant en faveur du médicament sont minces et préliminaires.,The Italian Pharmaceutical Agency reminded the public that the existing evidence in support of the drug is scant and preliminary.
wiki_10:2576,"Le 2 avril, l’Allemagne a annoncé qu’elle achèterait le médicament au Japon pour ses réserves et qu’elle utiliserait l’armée pour livrer le médicament aux hôpitaux universitaires où le médicament serait utilisé pour soigner les patients atteints de la COVID-19.","On 2 April, Germany announced that it would purchase the drug from Japan for its stockpile, and use the military to deliver the drug to university hospitals, where the drug will be used to treat COVID-19 patients."
wiki_10:2577,"Selon le South China Morning Post, Shinzo Abe a ouvert des possibilités pour que l’administration Trump puisse acquérir le médicament. Le médicament peut être moins efficace dans les cas graves de la maladie où le virus s’est déjà multiplié.","According to the South China Morning Post, Shinzo Abe has made overtures to the Trump administration about purchasing the drug.The drug may be less effective in severe cases of illness where the virus has already multiplied."
wiki_10:2578,Il peut ne pas être sûr pour les femmes enceintes ou celles tentant de procréer.,It may not be safe for use by pregnant women or those trying to conceive.
wiki_10:2579,"Une étude sur le lopinavir/ritonavir (Kaletra), une association des antiviraux lopinavir et ritonavir, a conclu « qu’aucun bénéfice n’était observé ».","One study of lopinavir/ritonavir (Kaletra), a combination of the antivirals lopinavir and ritonavir, concluded that ""no benefit was observed""."
wiki_10:2580,Ces médicaments ont été conçus pour inhiber la réplication du VIH en se liant à la protéase.,The drugs were designed to inhibit HIV from replicating by binding to the protease.
wiki_10:2581,Une équipe de chercheurs de l’université du Colorado tente de modifier ces médicaments pour trouver un composé qui se lierait avec la protéase du SARS-CoV-2. Il y a des critiques dans la communauté scientifique quant à l’utilisation de ressources pour le repositionnement de médicaments spécialement mis au point pour le VIH/SIDA.,A team of researchers at the University of Colorado are trying to modify the drugs to find a compound that will bind with the protease of SARS-CoV-2.There are criticisms within the scientific community about directing resources to repurposing drugs specifically developed for HIV/AIDS.
wiki_10:2582,L’OMS a inclus le lopinavir/ritonavir dans l’essai international Solidarity.,The WHO included lopinavir/ritonavir in the international Solidarity trial.
wiki_10:2583,"Le remdésivir a été créé et développé par Gilead Sciences comme traitement du virus Ebola et des infections virales Marburg. Gilead Sciences a découvert ensuite que le remdésivir avait une activité antivirale in vitro contre plusieurs filovirus, pneumovirus, paramyxovirus et coronavirus.","Remdesivir was created and developed by Gilead Sciences as a treatment for Ebola virus disease and Marburg virus infections . Gilead Sciences subsequently discovered that Remdesivir had antiviral activity in vitro against multiple filo-, pneumo-, paramyxo-, and corona- viruses ."
wiki_10:2584,Un problème du traitement antiviral est le développement d’une résistance par le biais de mutations qui peut engendrer une maladie et une transmission plus sévères.,One issue with antiviral treatment is the development of resistance through mutations that can lead to more severe disease and transmission.
wiki_10:2585,"Certaines études précoces avant l’essai suggèrent que le remdésivir peut avoir une barrière génétique élevée contre la résistance. Plusieurs essais cliniques sont en cours, parmi lesquels deux menés par les hôpitaux universitaires de Cleveland ; l’un portant sur des personnes souffrant d’une pathologie modérée et l’autre sur celles atteintes de formes plus graves.","Some early pretrial studies suggest remdesivir may have a high genetic barrier to resistance.There are several clinical trials underway, including two conducted by Cleveland University Hospitals; one for people with moderate illness and another for those with more severe illness."
wiki_10:2586,Il existe trois essais cliniques en cours sur la vitamine C en intraveineuse pour les personnes qui sont hospitalisées et gravement malades de la COVID-19 ; deux contrôlés contre placébo (Chine et Canada) et un sans contrôle (Italie).,"There are three ongoing clinical trials of intravenous vitamin C for people who are hospitalized and severely ill with COVID-19; two placebo controlled (China, Canada) and one with no control (Italy)."
wiki_10:2587,L’État de New York a commencé les essais relatifs à l’antibiotique azithromycine le 24 mars 2020.,New York State began trials for the antibiotic azithromycin on 24 March 2020.
wiki_10:2588,"Le centre national japonais de la santé et de la médecine globale (NCGM) prévoit un essai clinique portant sur l’alvesco (ciclésonide) de Teijin, un corticostéroïde pour inhalation utilisé pour l’asthme, pour le traitement des patients pré-symptomatiques infectés par le nouveau coronavirus.","Japan's National Center for Global Health and Medicine (NCGM) is planning a clinical trial for Teijin's Alvesco (ciclesonide), an inhaled corticosteroid for asthma, for the treatment of pre-symptomatic patients infected with the novel coronavirus."
wiki_10:2589,"Une forme d’enzyme de conversion de l’angiotensine 2, un essai de phase II est en cours avec 200 patients à recruter parmi les cas sévères hospitalisés au Danemark, en Allemagne et en Autriche pour déterminer l’efficacité du traitement.","A form of angiotensin-converting enzyme 2, a Phase II trial is underway with 200 patients to be recruited from severe, hospitalized cases in Denmark, Germany, and Austria to determine the effectiveness of the treatment."
wiki_10:2590,Des chercheurs du Montreal Heart Institute au Canada étudient actuellement le rôle de la colchicine dans la réduction de l’inflammation et des complications pulmonaires chez les patients souffrant de symptômes modérés de la COVID-19.,Researchers from the Montreal Heart Institute in Canada are currently studying the role of colchicine in reducing inflammation and pulmonary complications in patients suffering from mild symptoms of COVID-19.
wiki_10:2591,L’étude appelée COLCORONA recrute 6 000 adultes de 40 ans et plus qui ont été diagnostiqués positifs à la COVID-19 et présentent des symptômes modérés ne nécessitant pas d’hospitalisation.,"The study, named COLCORONA, is recruiting 6000 adults aged 40 and over who were diagnosed with COVID-19 and experience mild symptoms not requiring hospitalization."
wiki_10:2592,Les femmes enceintes ou allaitantes ou qui ne disposent pas d’une méthode de contraception efficace ne sont pas admissibles.,Women who are pregnant or breastfeeding or who do not have an effective contraceptive method are not eligible.
wiki_10:2593,Plusieurs anticoagulants sont en cours de test en Italie.,Several anticoagulants are being tested in Italy.
wiki_10:2594,"L’héparine de bas poids moléculaire est largement utilisée pour traiter les patients, ce qui incite l’agence italienne des médicaments à publier des directives sur son utilisation.","Low-molecular-weight heparin is being widely used to treat patients, prompting the Italian Medicines Agency to publish guidelines on its use."
wiki_10:2595,Une étude multicentrique portant sur 300 patients et étudiant l’utilisation de l’énoxaparine sodique en dosages préventifs et thérapeutiques a été annoncée en Italie le 14 avril.,A multicenter study on 300 patients researching the use of enoxaparin sodium at prophylaxis and therapeutic dosages was announced in Italy on April 14.
wiki_10:2596,"Étant donné que le SARS-CoV-2 est un virus, un grand nombre de chercheurs se sont concentrés sur le repositionnement de médicaments antiviraux approuvés qui ont été développés pour des épidémies antérieures comme celle du MERS, du SRAS et du virus du Nil occidental.","Since SARS-CoV-2 is a virus, considerable scientific attention has been focused on repurposing approved anti-viral drugs that were developed for prior outbreaks such as MERS, SARS, and West Nile virus."
wiki_10:2597,Ribavirine : la ribavirine a été recommandée pour le traitement de la COVID-19 conformément à la 7e édition des directives chinoises,Ribavirin: ribavirin was recommended for COVID-19 treatment according to Chinese 7th edition guidelines
wiki_10:2598,Umifénovir : l’umifénovir a été recommandé pour le traitement de la COVID-19 conformément à la 7e édition des directives chinoises,Umifenovir: umifenovir was recommended for COVID-19 treatment according to Chinese 7th edition guidelines
wiki_10:2599,Certains antibiotiques ont été identifiés comme potentiellement repositionnables comme traitements de la COVID-19 :,Some antibiotics that have been identified as potentially repurposable as COVID-19 treatments:
wiki_10:2600,tocilizumab (anti-récepteur-IL-6) : approuvé par la Chine.,Tocilizumab (Anti-IL-6 receptor): Approved by China.
wiki_10:2601,Des essais sont aussi en cours en Italie et en Chine. Voir Tocilizumab#COVID-19.,Also trials in Italy and China. and see Tocilizumab#COVID-19.
wiki_29:2602,"Il n’est pas clairement établi à ce stade si des pathologies survenant au cours de la grossesse comme le diabète, l’insuffisance cardiaque, l’hypercoagulation ou l’hypertension peuvent constituer des facteurs de risque supplémentaires pour les femmes enceintes, comme c'est le cas pour le reste de la population. D’après les données limitées disponibles, la transmission verticale au cours du troisième trimestre n’a probablement pas lieu ou ne survient que très rarement.","It is unclear yet whether conditions arising during pregnancy including diabetes, cardiac failure, hypercoagulability or hypertension might represent additional risk factors for pregnant people as they do for nonpregnant people.From the limited data available, vertical transmission during the third trimester probably does not occur, or only occurs very rarely."
wiki_29:2603,Il n’y a aucune donnée disponible à ce jour sur le début de grossesse.,There is no data yet on early pregnancy.
wiki_29:2604,Il y a peu de preuves permettant de tirer des conclusions solides sur la nature de l’infection au COVID-19 pendant la grossesse.,Little evidence exists to permit any solid conclusions about the nature of COVID-19 infection in pregnancy.
wiki_29:2605,"Une série de cas de 43 femmes de New York testées positives au COVID-19 présente des schémas similaires à ceux des adultes non enceintes : 86 % souffrent d’une forme modérée de la maladie, 9,3 % d’une forme grave et 4,7 % ont développé une forme critique.","A case series of 43 women from New York who tested positive for COVID-19 showed similar patterns to non-pregnant adults: 86% had mild disease, 9.3% had severe disease and 4.7% developed critical disease."
wiki_29:2606,Une détresse fœtale a été signalée dans deux cas.,Fetal distress was reported in two.
wiki_29:2607,Aucune femme n’a développé de pneumonie sévère liée au COVID-19 ou n’est décédée.,None of the women developed severe COVID-19 pneumonia or died.
wiki_29:2608,Tous les cas ont mené à une naissance vivante et aucune asphyxie néonatale sévère n’a été observée.,All of them had live birth pregnancies and no severe neonatal asphyxia was observed.
wiki_29:2609,"Les échantillons de lait maternel, de fluide amniotique, de cordon ombilical et de prélèvement de gorge des nouveau-nés ont été testés pour le SARS-CoV-2 et tous les résultats se sont avérés négatifs. Dans une autre étude sur 15 femmes enceintes, la majorité des patientes présentaient de la fièvre et de la toux alors que les analyses de laboratoire ont révélé une lymphocytopénie chez 12 patientes.","The samples of breast milk, amniotic fluid, cord blood and neonatal throat swab were tested for SARS-CoV-2, and all results were negative.In another study on 15 pregnant women, majority of the patients presented with fever and cough, while laboratory tests yielded lymphocytopenia in 12 patients."
wiki_29:2610,"Les résultats de tomodensitométrie de ces patientes étaient cohérents avec des rapports antérieurs portant sur des patientes non enceintes, constitués d’opacités à verre rodé en phase précoce.","Computed tomography findings of these patients were consistent with previous reports of non-pregnant patients, consisting of ground-glass opacities at early stage."
wiki_29:2611,"Les images de suivi après l’accouchement n’ont pas indiqué de progression de la pneumonie. D’après les médias, plus de 100 femmes porteuses du COVID-19 ont accouché et aucun décès maternel n’a été signalé en mars 2020.","Follow-up images after delivery showed no progression of pneumonia.Media reports indicate that over 100 women with COVID-19 might have delivered, and in March 2020, no maternal deaths were reported."
wiki_29:2612,Leurs directives ont conseillé par conséquent que toute femme enceinte admise à l’hôpital avec une infection au COVID-19 devrait recevoir un traitement d’au moins 10 jours à l’héparine de bas poids moléculaire en prophylaxie après avoir quitté l’hôpital.,Their guidelines thus advise that any pregnant person admitted to hospital with a COVID-19 infection should receive at least 10 days of prophylactic low-molecular-weight heparin after being discharged from the hospital.
wiki_29:2613,Il n’y a aucune donnée à ce jour sur les implications de l’infection au COVID-19 pendant le travail.,There are no data yet concerning the implications of COVID-19 infections for labour.
wiki_29:2614,"Une fillette née d’une mère atteinte du COVID-19 avait des taux d’IgM élevés deux heures après la naissance suggérant qu’elle avait été infectée in utero, ce qui étayerait la possibilité d’une transmission verticale dans certains cas.","One infant girl born to a mother with COVID-19 had elevated IgM levels two hours after birth, suggesting that she had been infected in utero and supporting the possibility of vertical transmission in some cases."
wiki_29:2615,"Une petite étude portant sur 6 mères avec un COVID-19 confirmé n’a montré aucun signe de COVID-19 dans la gorge ou le sérum des nouveau-nés, en revanche des anticorps étaient présents dans des échantillons de sang des nouveau-nés, y compris des IgM chez deux nourrissons.","A small study involving 6 confirmed COVID-19 mothers showed no indication of SARS-COV-19 in their newborns' throats or serum but antibodies were present in neonatal blood sera samples, including IgM in two of the infants."
wiki_29:2616,"Il n’y a pas habituellement de transmission de la mère au fœtus, par conséquent des recherches sont nécessaires pour savoir si le virus a franchi le placenta ou si les placentas des femmes de l’étude étaient endommagés ou anormaux.",This is not usually passed from mother to fetus so further research is required to know whether the virus crossed the placenta or whether placentas of women in the study were damaged or abnormal.
wiki_29:2617,"Étant donné que le COVID-19 présente des similitudes avec le SARS-CoV et avec le MERS-CoV, il est probable que leurs effets sur la grossesse soient similaires.","Since COVID-19 shows similarities to SARS-CoV and MERS-CoV, it is likely that their effect on pregnancy are similar."
wiki_29:2618,"Quatre sur sept ont eu une fausse-couche au cours du premier trimestre, deux sur cinq une restriction de la croissance fœtale et quatre sur cinq une naissance avant terme.","Four of seven had first trimester miscarriage, two of five had fetal growth restriction in the second trimester, and four of five had preterm birth."
wiki_29:2619,Aucun nouveau-né n’était infecté par le SARS-CoV.,None of the newborns were infected with SARS-CoV.
wiki_29:2620,Un rapport portant sur dix cas d’infection au MERS-CoV pendant la grossesse en Arabie Saoudite a montré que la présentation clinique varie d’une infection modérée à sévère.,"A report of ten cases of MERS- CoV infection in pregnancy in Saudi Arabia showed that the clinical presentation is variable, from mild to severe infection."
wiki_29:2621,"L’issue était favorable dans une majorité des cas, mais le taux de décès du nourrisson était de 27 %. Une analyse récente suggère que le COVID-19 semble moins létal pour les mères et les nouveau-nés que le SRAS et le MERS, cependant il peut y avoir un risque accru de naissance avant terme après 28 semaines de grossesse.","The outcome was favorable in a majority of the cases, but the infant death rate was 27%.A recent review suggested that COVID-19 appeared to be less lethal to mothers and infants than SARS and MERS but that there may be an increased risk of preterm birth after 28 weeks' gestation."
wiki_29:2622,"L’Organisation mondiale de la santé et les Centres de contrôle et de prévention de la maladie aux États-Unis recommandent aux femmes enceintes de prendre les mêmes mesures que le grand public pour prévenir l’infection, comme se couvrir la bouche et le nez pour tousser, éviter les interactions avec des personnes malades, se laver les mains à l’eau et au savon ou avec un désinfectant.","The World Health Organization and Centers for Disease Control and Prevention of the United States advises pregnant women to do the same things as the general public to avoid infection, such as covering cough, avoid interacting with sick people, cleaning hands with soap and water or sanitizer."
wiki_29:2623,Une étude réalisée à Shanghai parmi des femmes enceintes à des trimestres différents de grossesse a identifié une forte demande d’accès en ligne à des informations et des services de santé.,A survey conducted in Shanghai among pregnant women in different trimesters of pregnancy identified a strong demand for online access to health information and services.
wiki_29:2624,Les personnes attendant leur premier enfant étaient plus désireuses d’avoir une consultation et des conseils en ligne que celles qui avaient déjà donné naissance. Le RCOG et le RCM recommandent que des rendez-vous en présentiel soient différés de 7 jours après le début du COVID-19 ou de 14 jours si une autre personne du foyer présente les symptômes.,People expecting their first baby were more willing to have online consultation and guidance than who had previously given birth.The RCOG and RCM recommend that in-person appointments be deferred by 7 days after the start of symptoms of COVID-19 or 14 days if another person in the household has symptoms.
wiki_29:2625,La fièvre s’est développée ensuite chez trois patientes asymptomatiques.,Fever subsequently developed in three asymptomatic patients.
wiki_29:2626,Une patiente ayant été testée négative est devenue ensuite symptomatique post-partum et a été testée positive trois jours après le test négatif initial.,One patient who had tested negative subsequently became symptomatic postpartum and tested positive three days after the initial negative test.
wiki_29:2627,Les médecins ayant réalisé le dépistage ont recommandé de réaliser un dépistage général des patientes enceintes afin de réduire l’affection et de fournir l’EPI compte tenu du nombre élevé de patients asymptomatique.,"The doctors conducting the screening recommended that in order to reduce infection and allocate PPE, due to high numbers of patients presenting as asymptomatic, universal screening of pregnant patients should be conducted."
wiki_29:2628,Ils ont également suggéré que les cas suspects ou avérés de COVID-19 bénéficient d’un monitoring fœtal électronique continu.,They also suggest that people with suspected or confirmed COVID-19 should have continuous electronic fetal monitoring.
wiki_29:2629,L’utilisation de piscine d’accouchement n’est pas recommandée pour les cas suspects ou confirmés de COVID-19 compte tenu du risque d’infection par les selles.,The use of birthing pools is not recommended for suspected or confirmed cases of COVID-19 due to the risk of infection via faeces.
wiki_29:2630,"Au Royaume-Uni, les recommandations officielles indiquent que la séparation préventive d’une mère et de son nouveau-né sain ne doit pas être prise à la légère et qu’ils doivent rester ensemble pendant la période suivant l’accouchement si des soins de néonatalogie ne sont pas nécessaires. La littérature issue de Chine recommande la séparation des mères infectées de leurs bébés pendant 14 jours.","In the UK, official recommendations state that precautionary separation of a mother and a healthy baby should not be undertaken lightly and that they should be kept together in the postpartum period where neonatal care is not required.Literature from China recommended separation of infected mothers from babies for 14 days."
wiki_29:2631,"Aux États-Unis, il y a également une recommandation selon laquelle les nouveau-nés et les mères doivent être séparés temporairement jusqu’à l’arrêt des précautions liées au mode de transmission et que, dans le cas où cela ne serait pas possible, le nouveau-né doit être maintenu à une distance de 2 mètres de la mère.","In the US there is also the recommendation that newborns and mothers should be temporarily separated until transmission-based precautions are discontinued, and that where this is not possible the newborn should be kept 2 metres away from the mother."
wiki_11:2632,b’La surveillance du COVID-19 implique l’observation de la diffusion de la maladie à coronavirus de sorte à élaborer des schémas de progression de la maladie.,b'COVID-19 surveillance involves monitoring the spread of the coronavirus disease in order to establish the patterns of disease progression.
wiki_11:2633,"L’Organisation mondiale de la santé (OMS) recommande une surveillance active centrée sur l’identification des cas, le dépistage et le traçage des contacts dans tous les scénarios de transmission.","The World Health Organization (WHO) recommends active surveillance, with focus of case finding, testing and contact tracing in all transmission scenarios."
wiki_11:2634,"La surveillance du COVID-19 doit permettre de suivre les tendances épidémiologiques, de détecter rapidement de nouveaux cas et, sur la base de ces informations, de donner des informations épidémiologiques pour réaliser une évaluation du risque et orienter la capacité de réaction à la maladie.","COVID-19 surveillance is expected to monitor epidemiological trends, rapidly detect new cases, and based on this information, provide epidemiological information to conduct risk assessment and guide disease preparedness."
wiki_11:2635,La surveillance syndromique est réalisée sur base des symptômes d’un individu correspondant au COVID-19.,Syndromic surveillance is done based on the symptoms of an individual that corresponds to COVID-19.
wiki_11:2636,"À partir de mars 2020, l’OMS recommande les définitions de cas suivantes :","As of March 2020, the WHO recommends the following case definitions:"
wiki_11:2637,Cas probable : « un cas suspect pour lequel le dépistage du COVID-19 n’est pas concluant » OU « un cas suspect pour lequel le dépistage n’a pas pu être réalisé pour quelque raison que ce soit ».,"Probable case : ""A suspect case for whom testing for the COVID-19 virus is inconclusive"" OR ""a suspect case for whom testing could not be performed for any reason""."
wiki_11:2638,"Cas confirmé : « une personne atteinte d’une infection au COVID-19 confirmée en laboratoire, quels que soient les signes et les symptômes cliniques ».","Confirmed case: ""A person with laboratory confirmation of COVID-19 infection, irrespective of clinical signs and symptoms""."
wiki_11:2639,Contact physique direct avec un cas probable ou confirmé.,Direct physical contact with a probable or confirmed case;
wiki_11:2640,Soin direct d’un patient souffrant d’une infection probable ou confirmée au COVID-19 sans utilisation des équipements de protection individuelle adaptés.,Direct care for a patient with probable or confirmed COVID-19 disease without using proper personal protective equipment;
wiki_11:2641,D’autres situations telles qu’indiquées par les évaluations locales du risque ». L’OMS recommande de signaler les cas probables et confirmés d’infection au COVID-19 dans les 48 heures suivant l’identification.,"Other situations as indicated by local risk assessments"".WHO recommends reporting of probable and confirmed cases of COVID-19 infection within 48 hours of identification."
wiki_11:2642,"Les pays devraient signaler sur une base au cas par cas dans la mesure du possible, mais en cas de ressources limitées, un rapport hebdomadaire condensé est également possible.","The countries should report on a case-by-case basis as far as possible, but in case of limitation in resources, aggregate weekly reporting is also possible."
wiki_11:2643,Certaines organisations ont créé des applications participatives pour la surveillance syndromique dans lesquelles les personnes peuvent signaler leurs symptômes pour aider les chercheurs à cartographier les zones avec une concentration de symptômes du COVID-19.,"Some organizations have created crowdsourced apps for syndromic surveillance, where people can report their symptoms to help researchers map areas with concentration of COVID-19 symptoms."
wiki_11:2644,La surveillance virologique est réalisée à l’aide de tests moléculaires du COVID-19.,Virological surveillance is done by using molecular tests for COVID-19.
wiki_11:2645,L’OMS a publié des ressources pour les laboratoires sur la manière de réaliser les dépistages du COVID-19.,WHO has published resources for laboratories on how to perform testing for COVID-19.
wiki_11:2646,"Au sein de l’Union européenne, les cas COVID-19 confirmés en laboratoire sont signalés dans les 24 heures suivant l’identification.","In the European Union, laboratory confirmed cases of COVID-19 are reported within 24 hours of identification."
wiki_11:2647,Au moins 24 pays ont mis en œuvre la surveillance numérique de leurs citoyens.,At least 24 countries have established digital surveillance of their citizens.
wiki_11:2648,"Les technologies numériques de surveillance comprennent des applications, des données de localisation et des balises électroniques.","The digital surveillance technologies include apps, location data and electronic tags."
wiki_11:2649,Le centre de contrôle et de prévention de la maladie aux États-Unis trace les informations de voyage des individus à l’aide des données relatives aux passagers des compagnies aériennes.,The Center For Disease Control and Prevention in USA tracks the travel information of individuals using airline passenger data.
wiki_11:2650,"À Hong Kong, les autorités demandent à tous les voyageurs l’utilisation d’un bracelet et d’une application.","In Hong Kong, authorities are requiring a bracelet and an app for all travellers."
wiki_11:2651,Une application GPS est utilisée pour suivre la localisation des individus en Corée du Sud pour prévenir le non-respect de la quarantaine en envoyant aux utilisateurs et aux autorités un message en cas de sortie d’une zone désignée.,"A GPS app is used to track the locations of individuals in South Korea to ensure against quarantine breach, sending alerts to the user and to authorities if people leave designated areas."
wiki_11:2652,"À Singapour, les personnes doivent signaler leurs localisations à l’aide de preuves photographiques.","In Singapore, individuals have to report their locations with photographic proof."
wiki_11:2653,La Thaïlande utilise une application et des cartes SIM pour que tous les voyageurs respectent leur quarantaine.,Thailand is using an app and SIM cards for all travelers to enforce their quarantine.
wiki_11:2654,"Les organisations des droits de l’homme ont critiqué certaines de ces mesures, demandant aux gouvernements de ne pas utiliser la pandémie comme prétexte pour introduire une surveillance numérique invasive.","Human rights organizations have criticized some of these measures, asking the governments not to use the pandemic as a cover to introduce invasive digital surveillance."
wiki_4:2655,Un vaccin COVID-19 est un vaccin hypothétique contre la maladie à coronavirus 2019 (COVID-19).,b'A COVID-19 vaccine is a hypothetical vaccine against coronavirus disease 2019 (COVID-19).
wiki_4:2656,"Bien qu’aucun vaccin n’ait passé les tests cliniques, de nombreuses tentatives de développement sont en cours.","Although no vaccine has completed clinical trials, there are multiple attempts in progress to develop such a vaccine."
wiki_4:2657,"Fin février 2020, l’Organisation mondiale de la santé (OMS) a déclaré qu’aucun vaccin n’était attendu contre le SARS-CoV-2, virus à l’origine de la maladie, avant au moins 18 mois.","In late February 2020, the World Health Organization (WHO) said it did not expect a vaccine against SARS-CoV-2, the causative virus, to become available in less than 18 months."
wiki_4:2658,"En avril, cinq candidats vaccins étaient en cours d’étude de sécurité de phase I.",Five vaccine candidates were in Phase I safety studies in April.
wiki_4:2659,La COVID-19 a été identifiée en décembre 2019.,COVID-19 was identified in December 2019.
wiki_4:2660,"Une épidémie majeure s’est déclarée à travers le monde en 2020, engendrant d’importants investissements et recherches afin de développer un vaccin.","A major outbreak spread around the world in 2020, leading to considerable investment and research activity to develop a vaccine."
wiki_4:2661,De nombreuses organisations utilisent les génomes publiés pour développer des vaccins potentiels contre le SARS-CoV-2.,Many organizations are using published genomes to develop possible vaccines against SARS-CoV-2.
wiki_4:2662,"Définis en avril, les impératifs de l’initiative de la CEPI pour la mise au point d’un vaccin sont la vitesse, la capacité de fabrication, le déploiement à grande échelle et l’accès mondial.","Stated in April, imperatives of the CEPI initiative for vaccine development are speed, manufacturing capacity, deployment at scale, and global access."
wiki_4:2663,"En avril, les scientifiques de la CEPI ont indiqué que 10 plateformes technologiques différentes menaient des projets de recherche et de développement début 2020 dans le but de créer un vaccin efficace contre la COVID-19.","In April, CEPI scientists reported that 10 different technology platforms were under research and development during early 2020 to create an effective vaccine against COVID-19."
